modeloBombilla,tipoLampara,streetAddress,codigo,distrito,barrio,Longitude,Latitude
GLED001,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DE TORQUEMADA 28,11117220,Hortaleza,3,445936.57820000000,4479902.22550000000
GLED001,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DE LOS EMIGRANTES 9,20156291,Hortaleza,3,445952.93250000000,4479863.55810000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 25,11119098,Hortaleza,4,445687.8360000000,4480615.31400000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 23,11119096,Hortaleza,4,445695.50450000000,4480602.72580000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 32,11119124,Hortaleza,4,445669.12530000000,4480590.98130000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 15,11119218,Hortaleza,4,445656.31200000000,4480581.74440000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 26,11119068,Hortaleza,4,445708.74470000000,4480595.26840000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 19,11119092,Hortaleza,4,445706.88480000000,4480579.89670000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 17,11119090,Hortaleza,4,445710.96460000000,4480561.43550000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 16,11119060,Hortaleza,4,445716.94430000000,4480543.71760000000
